surface,name,when_to_use,playbook,core_refs
api,API surface,"Public HTTP/RPC endpoints, request/response contracts","references/playbooks/api.md","references/core/severity-rubric.md;references/core/score-rubric.md;references/core/personas.md"
sdk,SDK surface,"Client library, language-specific bindings","references/playbooks/sdk.md","references/core/severity-rubric.md;references/core/score-rubric.md;references/core/personas.md"
cli,CLI surface,"Command-line tool, flags, help output, exit codes","references/playbooks/cli.md","references/core/severity-rubric.md;references/core/score-rubric.md;references/core/personas.md"
docs,Docs and examples,"Quickstart, reference, tutorials, troubleshooting","references/playbooks/docs.md","references/core/severity-rubric.md;references/core/score-rubric.md;references/core/personas.md"
errors,Errors and messaging,"Error responses, validation messages, traceback UX","references/playbooks/errors.md","references/core/severity-rubric.md;references/core/personas.md"
setup,Install and setup,"Bootstrap, env config, first-run friction","references/playbooks/setup.md","references/core/severity-rubric.md;references/core/personas.md"
inner-loop,Local inner loop,"Edit-run-test cycle, watch mode, fixtures","references/playbooks/inner-loop.md","references/core/severity-rubric.md;references/core/personas.md"
contributor,Contributor flow,"Repo onboarding, PR loop, release steps","references/playbooks/contributor.md","references/core/severity-rubric.md;references/core/personas.md"
auth,Auth and secrets,"Token UX, credential rotation, scope errors","references/playbooks/auth.md","references/core/severity-rubric.md;references/core/personas.md"
migration,Migration and deprecation,"Upgrades, codemods, deprecation lifecycle","references/playbooks/migration.md","references/core/severity-rubric.md;references/core/personas.md"
plugin,Plugin and extension,"Hook points, plugin API, extension contracts","references/playbooks/plugin.md","references/core/severity-rubric.md;references/core/personas.md"
ide,IDE integration,"Autocomplete, LSP, hover docs, type hints","references/playbooks/ide.md","references/core/severity-rubric.md;references/core/personas.md"
perf,Performance perception,"Install time, cold start, build/test latency","references/playbooks/perf.md","references/core/severity-rubric.md;references/core/personas.md"
telemetry,Telemetry and consent,"Analytics opt-out, data collection clarity","references/playbooks/telemetry.md","references/core/severity-rubric.md;references/core/personas.md"
