surface,name,when_to_use,playbook,core_refs
api,API surface,"Public HTTP/RPC endpoints, request/response contracts","references/playbooks/api.md","references/core/severity-rubric.md;references/core/score-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
sdk,SDK surface,"Client library, language-specific bindings","references/playbooks/sdk.md","references/core/severity-rubric.md;references/core/score-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
cli,CLI surface,"Command-line tool, flags, help output, exit codes","references/playbooks/cli.md","references/core/severity-rubric.md;references/core/score-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
docs,Docs and examples,"Quickstart, reference, tutorials, troubleshooting","references/playbooks/docs.md","references/core/severity-rubric.md;references/core/score-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
errors,Errors and messaging,"Error responses, validation messages, traceback UX","references/playbooks/errors.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
setup,Install and setup,"Bootstrap, env config, first-run friction","references/playbooks/setup.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
inner-loop,Local inner loop,"Edit-run-test cycle, watch mode, fixtures","references/playbooks/inner-loop.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
contributor,Contributor flow,"Repo onboarding, PR loop, release steps","references/playbooks/contributor.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
auth,Auth and secrets,"Token UX, credential rotation, scope errors","references/playbooks/auth.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
migration,Migration and deprecation,"Upgrades, codemods, deprecation lifecycle","references/playbooks/migration.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
plugin,Plugin and extension,"Hook points, plugin API, extension contracts","references/playbooks/plugin.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
ide,IDE integration,"Autocomplete, LSP, hover docs, type hints","references/playbooks/ide.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
perf,Performance perception,"Install time, cold start, build/test latency","references/playbooks/perf.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
telemetry,Telemetry and consent,"Analytics opt-out, data collection clarity","references/playbooks/telemetry.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
readme,README and first impressions,"Front-door README, install on first screen, paste-runnable example, next-step ladder","references/playbooks/readme.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
package,Package and distribution,"Semver, peer deps, install footprint, types shipped, registry metadata","references/playbooks/package.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
examples,Examples and samples,"Runnable sample apps, per-language hello-world, CI'd against current SDK","references/playbooks/examples.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
logging,Logging and runtime introspection,"Log levels, verbosity flag, structured output, doctor/status/version commands","references/playbooks/logging.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
config,Runtime configuration,"Config-file design, env-var precedence, schema validation, dump-effective-config","references/playbooks/config.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
changelog,Changelog and release notes,"CHANGELOG.md, Keep a Changelog format, breaking-change callouts, registry release notes","references/playbooks/changelog.md","references/core/severity-rubric.md;references/core/personas.md;references/first-impressions-checklist.md;references/trackable-findings.md"
