scenario,intent,surface,prompt
"p99 doubled overnight",diagnose,latency,"Our p99 latency just doubled and we don't know why. Help me diagnose."
"design SLOs for a new service",design,slos,"Design the SLO program for our new payments service."
"audit observability stack",audit,all,"Audit our observability stack for gaps before next quarter's reliability push."
"optimize tail latency",optimize,latency,"Plan a tail-latency optimization pass for the checkout API; profile-first."
"observability roadmap",strategize,slos,"Strategize our observability roadmap, anchored on the SLO program, across logs, metrics, and traces."
"tracing review",audit,tracing,"Review our distributed tracing for sampling, cardinality, and dependency-graph fidelity."
"resource saturation",diagnose,resources,"We're seeing connection-pool exhaustion and slow queries; help us think through it."
"cut log bill",optimize,logs,"Reduce our log bill by 40% without losing recovery value for the on-call rotation."
"alerting on noise",diagnose,slos,"On-call is being paged on noise. Audit our SLI selection and alert thresholds."
"USE-method pass",audit,resources,"Run a USE-method pass on the API tier."
