surface,name,when_to_use,playbook,core_refs
api,API debug,"A user reported an API call failing, returning wrong data, or behaving unexpectedly","references/dx/playbooks/api.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md"
sdk,SDK debug,"A user reported the SDK throwing, hanging, or returning wrong data","references/dx/playbooks/sdk.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md"
cli,CLI debug,"A user reported a command failing, hanging, or producing unexpected output","references/dx/playbooks/cli.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md"
errors,Error UX debug,"A reported error message is unclear, unactionable, or misleading; includes user-facing migration/upgrade error friction","references/dx/playbooks/errors.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md"
inner-loop,Inner-loop debug,"A user reported the local dev loop being slow, flaky, or broken","references/dx/playbooks/inner-loop.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md"
auth,Auth debug,"A user reported auth failing, token rotation breaking, or scope errors","references/dx/playbooks/auth.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md"
plugin,Plugin debug,"A user reported a plugin/extension not loading or behaving unexpectedly","references/dx/playbooks/plugin.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md"
ide,IDE debug,"A user reported autocomplete, LSP, or hover docs being wrong or missing","references/dx/playbooks/ide.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md"
perf,Perf debug,"A user reported install, startup, or build/test being too slow","references/dx/playbooks/perf.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md"
package,Package debug,"A user reported install errors, peer-dep mismatches, type-resolution failures, or registry issues","references/dx/playbooks/package.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md"
logging,Logging debug,"A user reported missing context in logs, leaked secrets in verbose output, or unreadable structured logs","references/dx/playbooks/logging.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md"
config,Config debug,"A user reported confusing config precedence, validation errors, or invisible-effective-config","references/dx/playbooks/config.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md"
agent,Agent debug,"A user reported coding-agent loops, blocked commands, or wrong context from AGENTS.md","references/dx/playbooks/agent.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md"
ai-sdk,AI/Agent SDK debug,"A user reported streaming breaking, structured output failing, the agent loop running away, or tool schemas drifting","references/dx/playbooks/ai-sdk.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md"
