surface,name,when_to_use,playbook,core_refs
api,API design,"Designing a new HTTP/RPC API or major version","references/dx/playbooks/api.md","references/dx/core/personas.md"
sdk,SDK design,"Designing a new client library or binding","references/dx/playbooks/sdk.md","references/dx/core/personas.md"
cli,CLI design,"Designing a new CLI or major subcommand","references/dx/playbooks/cli.md","references/dx/core/personas.md"
docs,Docs design,"Designing the docs IA for a new product, surface, or section","references/dx/playbooks/docs.md","references/dx/core/personas.md"
errors,Error design,"Designing the error response shape and recovery copy","references/dx/playbooks/errors.md","references/dx/core/personas.md"
setup,Setup design,"Designing install path and first-run experience","references/dx/playbooks/setup.md","references/dx/core/personas.md"
inner-loop,Inner-loop design,"Designing the local dev experience for a new project","references/dx/playbooks/inner-loop.md","references/dx/core/personas.md"
contributor,Contributor design,"Designing repo onboarding, PR template, review expectations","references/dx/playbooks/contributor.md","references/dx/core/personas.md"
auth,Auth design,"Designing token UX, scopes, rotation, error states","references/dx/playbooks/auth.md","references/dx/core/personas.md"
migration,Migration design,"Designing an upgrade path, codemod, or deprecation lifecycle","references/dx/playbooks/migration.md","references/dx/core/personas.md"
plugin,Plugin design,"Designing a plugin API or extension-point contract","references/dx/playbooks/plugin.md","references/dx/core/personas.md"
ide,IDE-integration design,"Designing autocomplete/LSP/hover-doc behavior","references/dx/playbooks/ide.md","references/dx/core/personas.md"
perf,Perf design,"Designing install/startup/build-time budgets and instrumentation","references/dx/playbooks/perf.md","references/dx/core/personas.md"
telemetry,Telemetry design,"Designing data collection, consent, and opt-out","references/dx/playbooks/telemetry.md","references/dx/core/personas.md"
readme,README design,"Designing the README and first-impressions surface for a new project","references/dx/playbooks/readme.md","references/dx/core/personas.md;references/dx/first-impressions-checklist.md"
package,Package design,"Designing publish, semver discipline, peer deps, install footprint, types shipped","references/dx/playbooks/package.md","references/dx/core/personas.md"
examples,Examples design,"Designing the samples surface, per-language hello-world strategy, CI for examples","references/dx/playbooks/examples.md","references/dx/core/personas.md"
logging,Logging design,"Designing log levels, verbosity dial, structured output, doctor/status/version commands","references/dx/playbooks/logging.md","references/dx/core/personas.md"
config,Config design,"Designing runtime config: file shape, env-var precedence, validation, dump-effective-config","references/dx/playbooks/config.md","references/dx/core/personas.md"
changelog,Changelog design,"Designing the changelog format, breaking-change conventions, release-notes pipeline","references/dx/playbooks/changelog.md","references/dx/core/personas.md"
