surface,name,when_to_use,playbook,core_refs
api,API surface,"Public HTTP/RPC endpoints, request/response contracts","references/dx/playbooks/api.md","references/dx/core/severity-rubric.md;references/dx/core/score-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
sdk,SDK surface,"Client library, language-specific bindings","references/dx/playbooks/sdk.md","references/dx/core/severity-rubric.md;references/dx/core/score-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
cli,CLI surface,"Command-line tool, flags, help output, exit codes","references/dx/playbooks/cli.md","references/dx/core/severity-rubric.md;references/dx/core/score-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
docs,Docs and examples,"Quickstart, reference, tutorials, troubleshooting","references/dx/playbooks/docs.md","references/dx/core/severity-rubric.md;references/dx/core/score-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
errors,Errors and messaging,"Error responses, validation messages, traceback UX","references/dx/playbooks/errors.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
setup,Install and setup,"Bootstrap, env config, first-run friction","references/dx/playbooks/setup.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
inner-loop,Local inner loop,"Edit-run-test cycle, watch mode, fixtures","references/dx/playbooks/inner-loop.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
contributor,Contributor flow,"Repo onboarding, PR loop, release steps","references/dx/playbooks/contributor.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
auth,Auth and secrets,"Token UX, credential rotation, scope errors","references/dx/playbooks/auth.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
migration,Migration and deprecation,"Upgrades, codemods, deprecation lifecycle","references/dx/playbooks/migration.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
plugin,Plugin and extension,"Hook points, plugin API, extension contracts","references/dx/playbooks/plugin.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
ide,IDE integration,"Autocomplete, LSP, hover docs, type hints","references/dx/playbooks/ide.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
perf,Performance perception,"Install time, cold start, build/test latency","references/dx/playbooks/perf.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
telemetry,Telemetry and consent,"Analytics opt-out, data collection clarity","references/dx/playbooks/telemetry.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
readme,README and first impressions,"Front-door README, install on first screen, paste-runnable example, next-step ladder","references/dx/playbooks/readme.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
package,Package and distribution,"Semver, peer deps, install footprint, types shipped, registry metadata","references/dx/playbooks/package.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
examples,Examples and samples,"Runnable sample apps, per-language hello-world, CI'd against current SDK","references/dx/playbooks/examples.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
logging,Logging and runtime introspection,"Log levels, verbosity flag, structured output, doctor/status/version commands","references/dx/playbooks/logging.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
config,Runtime configuration,"Config-file design, env-var precedence, schema validation, dump-effective-config","references/dx/playbooks/config.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
changelog,Changelog and release notes,"CHANGELOG.md, Keep a Changelog format, breaking-change callouts, registry release notes","references/dx/playbooks/changelog.md","references/dx/core/severity-rubric.md;references/dx/core/personas.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
