surface,name,when_to_use,playbook,core_refs
fresh-machine,Fresh-machine path,"Verify the experience on a machine with no prior cache or state","references/dx/playbooks/setup.md;references/dx/playbooks/inner-loop.md","references/dx/core/severity-rubric.md;references/dx/trackable-findings.md"
env-skew,Environment skew,"OS, shell, architecture, package manager, runtime version variance","references/dx/playbooks/setup.md;references/dx/playbooks/inner-loop.md","references/dx/core/severity-rubric.md;references/dx/trackable-findings.md"
creds,Credentials and permissions,"Missing tokens, expired credentials, insufficient scopes, offline mode","references/dx/playbooks/auth.md;references/dx/playbooks/errors.md","references/dx/core/severity-rubric.md;references/dx/trackable-findings.md"
partial-setup,Partial setup,"One service running and another not; missing codegen; stale fixtures","references/dx/playbooks/setup.md;references/dx/playbooks/inner-loop.md","references/dx/core/severity-rubric.md;references/dx/trackable-findings.md"
version-skew,Version skew,"Docs, SDK, server, schema, examples, generated code drift","references/dx/playbooks/migration.md;references/dx/playbooks/docs.md","references/dx/core/severity-rubric.md;references/dx/trackable-findings.md"
destructive,Destructive operations,"Data migration, irreversible side effect, secret in log","references/dx/playbooks/migration.md;references/dx/playbooks/cli.md","references/dx/core/severity-rubric.md;references/dx/trackable-findings.md"
external-deps,External dependencies,"Network flake, vendor outage, nondeterministic fixture","references/dx/playbooks/inner-loop.md;references/dx/playbooks/errors.md","references/dx/core/severity-rubric.md;references/dx/trackable-findings.md"
back-compat,Backward compatibility,"Existing users; deprecated paths still working","references/dx/playbooks/migration.md;references/dx/playbooks/api.md","references/dx/core/severity-rubric.md;references/dx/trackable-findings.md"
contributor-path,Contributor path,"Local setup, tests, PR evidence, release notes from a fresh fork","references/dx/playbooks/contributor.md;references/dx/playbooks/inner-loop.md","references/dx/core/severity-rubric.md;references/dx/trackable-findings.md"
first-impressions,First-impressions 30-second pass,"README + install + first example + license + changelog + --help + --version + cold-error-message check","references/dx/playbooks/readme.md;references/dx/playbooks/package.md;references/dx/playbooks/changelog.md;references/dx/playbooks/examples.md;references/dx/playbooks/cli.md;references/dx/playbooks/sdk.md;references/dx/playbooks/setup.md;references/dx/playbooks/errors.md;references/dx/playbooks/docs.md;references/dx/playbooks/contributor.md","references/dx/core/severity-rubric.md;references/dx/first-impressions-checklist.md;references/dx/trackable-findings.md"
install-skew,Install and dependency skew,"Peer-dep mismatches, transitive bloat, registry-vs-tag drift, lockfile policy violations","references/dx/playbooks/package.md;references/dx/playbooks/setup.md","references/dx/core/severity-rubric.md;references/dx/trackable-findings.md"
logging-leak,Logging and secret hygiene,"Secrets in verbose logs, TTY-only output leaking to pipes, missing trace IDs in client output","references/dx/playbooks/logging.md;references/dx/playbooks/auth.md","references/dx/core/severity-rubric.md;references/dx/trackable-findings.md"
agent-readiness,Agent-readiness pass,"AGENTS.md presence and parity, harness-mirror drift, MCP server documented and CI'd, agents trip on undocumented gates","references/dx/playbooks/agent.md;references/dx/playbooks/contributor.md","references/dx/core/severity-rubric.md;references/dx/trackable-findings.md"
ai-stochasticity,AI/Agent stochasticity pass,"Validation-retry semantics, partial-output rendering, agent-loop bounding, provider feature parity, opaque-reasoning round-trip, batch-vs-online divergence","references/dx/playbooks/ai-sdk.md;references/dx/playbooks/errors.md","references/dx/core/severity-rubric.md;references/dx/trackable-findings.md"
