surface,name,when_to_use,playbook,core_refs
api,API design,"Designing a new HTTP/RPC API or major version","references/playbooks/api.md","references/core/personas.md"
sdk,SDK design,"Designing a new client library or binding","references/playbooks/sdk.md","references/core/personas.md"
cli,CLI design,"Designing a new CLI or major subcommand","references/playbooks/cli.md","references/core/personas.md"
docs,Docs design,"Designing the developer docs for a new surface — quickstart, reference, tutorials, troubleshooting","references/playbooks/docs.md","references/core/personas.md"
errors,Error design,"Designing the error response shape and recovery copy","references/playbooks/errors.md","references/core/personas.md"
setup,Setup design,"Designing install path and first-run experience","references/playbooks/setup.md","references/core/personas.md"
inner-loop,Inner-loop design,"Designing the local dev experience for a new project","references/playbooks/inner-loop.md","references/core/personas.md"
contributor,Contributor design,"Designing repo onboarding, PR template, review expectations","references/playbooks/contributor.md","references/core/personas.md"
auth,Auth design,"Designing token UX, scopes, rotation, error states","references/playbooks/auth.md","references/core/personas.md"
migration,Migration design,"Designing an upgrade path, codemod, or deprecation lifecycle","references/playbooks/migration.md","references/core/personas.md"
plugin,Plugin design,"Designing a plugin API or extension-point contract","references/playbooks/plugin.md","references/core/personas.md"
ide,IDE-integration design,"Designing autocomplete/LSP/hover-doc behavior","references/playbooks/ide.md","references/core/personas.md"
perf,Perf design,"Designing install/startup/build-time budgets and instrumentation","references/playbooks/perf.md","references/core/personas.md"
telemetry,Telemetry design,"Designing data collection, consent, and opt-out","references/playbooks/telemetry.md","references/core/personas.md"
readme,README design,"Designing the README and first-impressions surface for a new project","references/playbooks/readme.md","references/core/personas.md;references/first-impressions-checklist.md"
package,Package design,"Designing publish, semver discipline, peer deps, install footprint, types shipped","references/playbooks/package.md","references/core/personas.md"
examples,Examples design,"Designing the samples surface, per-language hello-world strategy, CI for examples","references/playbooks/examples.md","references/core/personas.md"
logging,Logging design,"Designing log levels, verbosity dial, structured output, doctor/status/version commands","references/playbooks/logging.md","references/core/personas.md"
config,Config design,"Designing runtime config: file shape, env-var precedence, validation, dump-effective-config","references/playbooks/config.md","references/core/personas.md"
changelog,Changelog design,"Designing the changelog format, breaking-change conventions, release-notes pipeline","references/playbooks/changelog.md","references/core/personas.md"
