surface,name,when_to_use,playbook,core_refs
fresh-machine,Fresh-machine path,"Verify the experience on a machine with no prior cache or state","references/playbooks/setup.md;references/playbooks/inner-loop.md","references/core/severity-rubric.md;references/first-impressions-checklist.md;references/trackable-findings.md"
env-skew,Environment skew,"OS, shell, architecture, package manager, runtime version variance","references/playbooks/setup.md;references/playbooks/inner-loop.md","references/core/severity-rubric.md;references/first-impressions-checklist.md;references/trackable-findings.md"
creds,Credentials and permissions,"Missing tokens, expired credentials, insufficient scopes, offline mode","references/playbooks/auth.md;references/playbooks/errors.md","references/core/severity-rubric.md;references/first-impressions-checklist.md;references/trackable-findings.md"
partial-setup,Partial setup,"One service running and another not; missing codegen; stale fixtures","references/playbooks/setup.md;references/playbooks/inner-loop.md","references/core/severity-rubric.md;references/first-impressions-checklist.md;references/trackable-findings.md"
version-skew,Version skew,"Docs, SDK, server, schema, examples, generated code drift","references/playbooks/migration.md;references/playbooks/docs.md","references/core/severity-rubric.md;references/first-impressions-checklist.md;references/trackable-findings.md"
destructive,Destructive operations,"Data migration, irreversible side effect, secret in log","references/playbooks/migration.md;references/playbooks/cli.md","references/core/severity-rubric.md;references/first-impressions-checklist.md;references/trackable-findings.md"
external-deps,External dependencies,"Network flake, vendor outage, nondeterministic fixture","references/playbooks/inner-loop.md;references/playbooks/errors.md","references/core/severity-rubric.md;references/first-impressions-checklist.md;references/trackable-findings.md"
back-compat,Backward compatibility,"Existing users; deprecated paths still working","references/playbooks/migration.md;references/playbooks/api.md","references/core/severity-rubric.md;references/first-impressions-checklist.md;references/trackable-findings.md"
contributor-path,Contributor path,"Local setup, tests, PR evidence, release notes from a fresh fork","references/playbooks/contributor.md;references/playbooks/inner-loop.md","references/core/severity-rubric.md;references/first-impressions-checklist.md;references/trackable-findings.md"
first-impressions,First-impressions 30-second pass,"README + install + first example + license + changelog + --help + --version + cold-error-message check","references/playbooks/readme.md;references/playbooks/package.md;references/playbooks/changelog.md;references/playbooks/examples.md;references/playbooks/cli.md;references/playbooks/sdk.md;references/playbooks/setup.md;references/playbooks/errors.md;references/playbooks/docs.md;references/playbooks/contributor.md","references/core/severity-rubric.md;references/first-impressions-checklist.md;references/trackable-findings.md"
install-skew,Install and dependency skew,"Peer-dep mismatches, transitive bloat, registry-vs-tag drift, lockfile policy violations","references/playbooks/package.md;references/playbooks/setup.md","references/core/severity-rubric.md;references/first-impressions-checklist.md;references/trackable-findings.md"
logging-leak,Logging and secret hygiene,"Secrets in verbose logs, TTY-only output leaking to pipes, missing trace IDs in client output","references/playbooks/logging.md;references/playbooks/auth.md","references/core/severity-rubric.md;references/first-impressions-checklist.md;references/trackable-findings.md"
